Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Well;Condition;Color;Generation;Original_cell;Culture_time
export_C2 MPP SC2_VC0.csv;89299,75781;36442,59766;7288,641602;17,786171;389,23053;821,619324;29081,64844;65,239784;521,799744;255,099731;745,708374;5,887559;195,02298;C2;SC2;VC;0;MPP;24h
export_C2 MPP SC2_Vi1.csv;76653,35938;42411,23828;0,85929;43,523315;1491,385498;129,29509;19891,13672;89,61908;333,418854;46,914745;154,142044;2,993041;116,940544;C2;SC2;Vi;1;MPP;24h
export_C2 MPP SC2_Vi2.csv;76261,21875;65355,10938;3,772947;5595,62793;322,816864;207511,6406;8717,15332;131807,3438;-4640,748535;6702,259277;3513,666016;3,194041;78,349167;C2;SC2;Vi;2;MPP;24h
export_C3 ST-HSC SC2_CV0.csv;116272,0703;62002,89063;20117,83203;51,850742;140,821121;580,616943;13601,08496;69,964775;434,146851;158,679855;412,108978;5,96597;191,775986;C3;SC2;CV;0;ST-HSC;24h
export_C3 ST-HSC SC2_VC1.csv;132018,5625;61356,79688;4280,892578;199,890701;103,749939;80,035034;18991,58008;113,181892;53,116657;8,710854;243,369156;5,593282;31,665541;C3;SC2;VC;1;ST-HSC;24h
export_C3 ST-HSC SC2_Vi0.csv;131386;80338,375;29,073353;11045,37598;318,096954;207828,9219;64585,64063;93376,03125;-3750,339111;192866,2031;26709,67188;4,436127;148,567307;C3;SC2;Vi;0;ST-HSC;24h
export_C4 ST-HSC SC2_CF0.csv;150322,4219;101688,0391;31562,98047;355,872864;230,084854;420,15448;92,877159;-87,924286;245,272644;2165,429443;433,210907;4,572921;203,879623;C4;SC2;CF;0;ST-HSC;24h
export_C4 ST-HSC SC2_CV0.csv;131781,3906;95537,17188;24759,45703;1292,537598;160,567245;280,986694;15049,28223;40,832306;58,287804;2891,877441;424,05481;6,060794;112,927582;C4;SC2;CV;0;ST-HSC;24h
export_C4 ST-HSC SC2_VC0.csv;125468,4375;81672,28906;9724,400391;113,202301;860,996399;206,122162;29469,6875;79,44175;189,262329;956,792847;321,600708;5,980171;53,889137;C4;SC2;VC;0;ST-HSC;24h
export_C5 HSC SC2_CF1.csv;120466,1953;82855,03906;16540,45117;726,063049;87,089584;147,603897;63,058056;119,625664;254,258301;316,493134;420,207855;4,255572;6,283922;C5;SC2;CF;1;HSC;24h
export_C5 HSC SC2_CV0.csv;94451,57813;95208,90625;22908,39648;1902,703735;230,410828;233,274734;13732,13477;51,739868;46,180859;2382,480469;332,515564;6,008804;151,062973;C5;SC2;CV;0;HSC;24h
export_C5 HSC SC2_VC0.csv;100356,1484;86233,1875;7717,30127;979,865906;89,232994;110,261848;33178,09766;90,836716;178,645493;149,952271;241,644958;5,945578;135,40332;C5;SC2;VC;0;HSC;24h
export_C6 HSC SC2_CF0.csv;127773,1328;83525,53125;24756,12891;665,558105;128,166626;92,229332;59,444576;134,81015;56,51252;1197,877686;273,545044;4,36129;185,306595;C6;SC2;CF;0;HSC;24h
export_C6 HSC SC2_VC0.csv;119153,25;79527,96094;8409,106445;703,184021;163,782608;61,447456;33893,03516;156,441132;63,965809;314,671356;265,066772;5,978489;223,521255;C6;SC2;VC;0;HSC;24h
