FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time;Culture_condition;Experiment;Well_experiment;Family
144063;90869,59375;101357,0625;7018,30127;3869,507813;7802,553223000001;-350,028961;7585,989258;435,83731100000006;9,637636;CV;A10;SC3;ST-HSC;24h;P+ILs;TT23;A10_TT23;A10CV24hST-HSCTT23
174059;113791,375;159966,9531;4670,393555;6464,255371;14911,45801;12490,53418;452,970917;215,006409;9,825866;CV;A11;SC3;SLAM-HSC;24h;P+ILs;TT23;A11_TT23;A11CV24hSLAM-HSCTT23
158597;127501,3672;161072,4531;4154,894531;9914,716797;15101,08203;5048,176758;22101,12891;616,1211549999998;10,066499;CV;A12;SC3;SLAM-HSC;24h;P+ILs;TT23;A12_TT23;A12CV24hSLAM-HSCTT23
143213;87948,14063;77424,97656;-150,090195;4349,739746;9965,914063;24900,4082;29198,77344;312,173248;10,327559;CV;B12;SC3;SLAM-HSC;24h;P+ILs;TT23;B12_TT23;B12CV24hSLAM-HSCTT23
139277;102163,8828;105860,0234;6111,585449;8122,285645;11979,10645;11290,1416;4359,339355;352,649231;10,592363;CV;B11;SC3;SLAM-HSC;24h;P+ILs;TT23;B11_TT23;B11CV24hSLAM-HSCTT23
162145;89773,60156;129973,0;4344,378906;7007,133301000002;7893,615234000001;1113,7734380000004;5273,050293;295,88739;10,832355;CV;B10;SC3;ST-HSC;24h;P+ILs;TT23;B10_TT23;B10CV24hST-HSCTT23
142308;83710,55469;91753,76563;1393,832031;5055,708496;8815,689453;2264,891602;17217,00781;602,00354;11,120152;CV;B9;SC3;ST-HSC;24h;P+ILs;TT23;B9_TT23;B9CV24hST-HSCTT23
164462;84425,74219;92674,82813;3803,558594;2558,157715;8344,742188;-123,75692;5715,354004;3691,109131;11,323033;CV;B8;SC3;MPP;24h;P+ILs;TT23;B8_TT23;B8CV24hMPPTT23
145073;67423,02344;94355,10156;4057,198486;4200,122559;8284,841797;7,527719;1438,97522;1271,791382;11,525593;CV;B7;SC3;MPP;24h;P+ILs;TT23;B7_TT23;B7CV24hMPPTT23
142283;88169,48438;91344,40625;21,756964;4316,814453;9770,275391;12429,63086;70358,46875;434,445862;11,785584;CV;B6;SC2;SLAM-HSC;24h;P;TT23;B6_TT23;B6CV24hSLAM-HSCTT23
138605;74774,84375;84431,69531;1544,105591;7651,76123;7994,964355;3775,171875;18075,78711;223,260468;12,166213;CV;B5;SC2;SLAM-HSC;24h;P;TT23;B5_TT23;B5CV24hSLAM-HSCTT23
181118;104347,5313;95804,52344;7057,257323999998;7911,805176000002;9810,719727;1454,904175;695,322571;333,686218;12,365885;CV;B4;SC2;ST-HSC;24h;P;TT23;B4_TT23;B4CV24hST-HSCTT23
180596;159489,75;178610,6719;4199,929199;7261,270508;13932,14844;-363,082489;5301,663086;211,88913;12,62192;CV;B3;SC2;ST-HSC;24h;P;TT23;B3_TT23;B3CV24hST-HSCTT23
144589;100095,6641;157947,5156;6473,021973;3637,962402;10343,22266;2927,895264;34088,80859;2220,397949;12,894316;CV;B2;SC2;MPP;24h;P;TT23;B2_TT23;B2CV24hMPPTT23
153616;96711,30469;94956,05469;5619,104004;7173,987305;8876,12793;2490,335449;4533,561035;728,551819;13,168425;CV;B1;SC2;MPP;24h;P;TT23;B1_TT23;B1CV24hMPPTT23
152471;102375,7031;138868,25;5140,645996;6737,005859000001;12249,80957;296,815155;1072,258057;672,0948490000002;13,389165;CV;C1;SC2;MPP;24h;P;TT23;C1_TT23;C1CV24hMPPTT23
156968;100471,7031;136158,6094;6443,557617;3726,868896;9950,047852;1983,434937;9914,603516;1401,50061;13,647445;CV;C2;SC2;MPP;24h;P;TT23;C2_TT23;C2CV24hMPPTT23
153076;85976,3125;101471,3047;5787,3598630000015;3789,609863;8689,817383;12,875654;2167,645752;108,393318;13,876957;CV;C3;SC2;ST-HSC;24h;P;TT23;C3_TT23;C3CV24hST-HSCTT23
160203;101821,1641;107292,7891;6469,463867;5315,939941;8148,239745999998;868,962585;3195,234375;527,946106;14,177267;CV;C4;SC2;ST-HSC;24h;P;TT23;C4_TT23;C4CV24hST-HSCTT23
142035;84253,19531;102395,9375;1434,599487;5212,738281;9587,486328;3466,621094;17585,87305;575,707825;14,430627;CV;C5;SC2;SLAM-HSC;24h;P;TT23;C5_TT23;C5CV24hSLAM-HSCTT23
149715;82290,88281;136664,3594;1727,475586;6444,301758;7288,030762;3552,495361;8565,077148;157,781982;14,775963;CV;C6;SC2;SLAM-HSC;24h;P;TT23;C6_TT23;C6CV24hSLAM-HSCTT23
163311;139562,0156;175648,7656;8900,889648;4835,835449;11677,42969;-78,315308;48477,54297;5292,940918;15,026649;CV;C7;SC3;MPP;24h;P+ILs;TT23;C7_TT23;C7CV24hMPPTT23
