Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Original_cell;Culture_time
export_H1 bulk ckit+ SC4_CF0.csv.108;135303,6563;89689,49219;18320,82031;291,312927;92,850479;77,884102;62,386349;12,408288;147,412766;2963,108398;341,874207;4,283677;93,988426;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.109;184529,9375;126236,0313;11369,35352;197,544189;111,16539;461,835358;77,466629;265,826141;1093,348022;93,019272;499,450836;4,203644;95,243202;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.110;143753,1406;100175,7188;14869,17188;592,023682;147,060944;171,044891;60,808853;42,503479;48,986202;1863,90332;375,084869;4,211707;95,770416;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.111;125859,8125;76786,78906;18112,48242;74,79644;87,225464;65,328339;81,208969;183,299774;523,587708;451,610443;609,036926;4,361139;96,176216;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.112;112167,0625;66137,98438;12029,57129;470,993835;85,092094;380,446503;43,398205;1,267036;566,34198;108,544243;458,198578;4,04304;96,662361;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.113;146616,7813;104118,8828;10419,22949;59,126202;376,674133;335,133484;126,823631;300,396637;1431,32312;316,110077;695,565247;4,328226;96,815186;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.114;138729,3438;105818,4453;17434,95117;132,37204;128,815491;271,828735;49,542965;101,054047;589,629883;537,013123;194,042847;4,19767;98,763893;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.115;162798,3125;105833,5938;15872,72363;555,280334;97,53907;194,919586;73,305473;228,808899;699,117493;23,188431;310,952698;4,28916;99,028564;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.116;120922,5703;73179,03125;13869,7002;92,709557;126,154968;280,908234;53,137291;101,986992;322,849823;341,710999;351,333679;4,148925;99,242561;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.117;125118,9219;67227,61719;10360,25586;69,161507;127,377121;26,479742;68,889984;253,587006;880,505005;229,127747;367,489716;4,139068;99,44873;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.118;170201,3594;114925,7188;12339,15039;79,526581;124,139313;574,926697;94,820557;84,388405;819,664307;80,062126;908,360474;4,290857;99,566284;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.119;157778,6563;141220,4219;11280,06738;350,233704;182,175385;752,025208;91,726959;156,457047;628,355286;1571,081665;577,232727;4,253112;100,737999;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.120;159836,4375;92217,10938;13261,41699;102,491692;155,305557;166,000961;76,056648;180,49913;757,868103;99,30706;688,518066;4,245276;102,1968;SC4;CF;0;ckit+;24h
export_H1 bulk ckit+ SC4_CF0.csv.121;161761,4063;103916,8984;17053,83008;2209,496582;98,052391;120,481445;30,029108;-38,810997;-25,543343;4045,745605;165,379898;4,03713;105,124893;SC4;CF;0;ckit+;24h
