FSC;SSC;CFSE;CD48;ckit;CTV;SLAM;SCA-1;Flt3;Time;Color;Well;Condition;Original_cell;Culture_time
130458;62833,19141;89679,59375;263,899689;7066,897949;7782,200684;9777,686523;1516,497925;-7,138726;214,561401;CV;D11;SC3;HSC;24h
149869;83792,66406;65578,52344;121,488762;6880,748047;8779,97168;117,79393;14810,00879;251,941696;215,243607;CV;D10;SC3;ST-HSC;24h
225440;114857,6172;111637,4766;7407,484375;2690,680176;11923,33203;2221,279785;3229,785889;77,870155;216,243973;CV;D9;SC3;ST-HSC;24h
163493;81537,61719;93469,74219;14669,73731;3714,702637;10676,53711;-1807,93103;1764,110352;3948,652832;217,494904;CV;D8;SC3;MPP;24h
138261;84735,14063;66000,97656;5569,323242;5094,371094;9424,750977;170,842743;2876,024902;625,378235;219,17865;CV;D7;SC3;MPP;24h
153115;77347,625;70202,86719;-699,586365;3621,26123;7562,530273;5623,621582;14753,90137;106,099236;220,277969;CV;D6;SC2;HSC;24h
141457;76966,82031;74730,8125;417,648438;3924,273193;8143,863281;5292,617676;18749,58398;7,210382;222,262161;CV;D5;SC2;HSC;24h
165267;160863,0156;99788,64844;2872,335693;8857,695313;10522,54199;1753,297729;8049,269531;170,005157;223,628571;CV;D4;SC2;ST-HSC;24h
151454;81372,20313;69869,66406;1953,718018;4312,157715;7443,510254;130,866364;2262,419434;595,007874;224,537018;CV;D3;SC2;ST-HSC;24h
148786;92768,83594;98680,75781;19699,625;2070,627197;8189,268555;511,406097;23506,03711;4405,842285;225,489456;CV;D2;SC2;MPP;24h
142568;84005,67188;69350,82031;752,354797;1960,61792;8449,924805;376,781433;21324,13477;1134,488403;226,30246;CV;D1;SC2;MPP;24h
140377;59400,04297;61615,82422;7712,630859;2436,587891;7731,953613;778,178528;1678,923462;1591,398438;227,440262;CV;E1;SC2;MPP;24h
168433;103969,1172;111666,0391;13633,42383;3190,099121;9707,507813;-366,702637;4883,084961;3400,949707;228,696304;CV;E2;SC2;MPP;24h
124986;59052,5625;75322,24219;3576,804688;4061,053467;6845,898438;683,902954;492,169342;617,882019;229,724518;CV;E3;SC2;ST-HSC;24h
133327;80198,86719;70407,54688;66,357918;5469,186035;8756,208984;422,427612;928,227783;354,86087;231,044189;CV;E4;SC2;ST-HSC;24h
152279;66449,60156;67759,79688;-224,981949;3718,539795;7754,827148;4230;6507,628906;-122,329254;232,125443;CV;E5;SC2;HSC;24h
177626;109745,375;107265,4141;563,526917;6756,168457;12153,40039;4197,190918;2885,241699;162,834488;234,465485;CV;E6;SC2;HSC;24h
127064;78409,10156;100901,2969;2123,412109;3770,135498;7203,887695;113,002861;2890,441895;9351,599609;235,593872;CV;E7;SC3;MPP;24h
139409;66455,55469;66328,22656;1567,362427;3667,608398;6583,224609;-2,73923;17937,36719;1392,972168;236,477188;CV;E8;SC3;MPP;24h
145156;68732,02344;58370,69141;1225,478149;2478,573486;6765,339355;1970,890259;28734,60547;49,256832;238,087875;CV;E9;SC3;ST-HSC;24h
136362;73865,67969;78212,75;2375,791016;3385,977051;7141,682617;-732,329651;1839,951172;270,122711;239,2202;CV;E10;SC3;ST-HSC;24h
113692;65837,94531;50241,80078;254,712433;2926,544678;9504,983398;5733,887695;939,323547;466,582275;240,092117;CV;E11;SC3;HSC;24h
137551;91086,17188;68899,8125;89,207428;3452,075195;7577,953613;5011,70459;8711,152344;104,625092;241,295517;CV;E12;SC3;HSC;24h
112072;52900,26172;50411,97266;1533,227295;6859,220215;6587,87793;10677,62793;1035,553223;23,441521;242,917603;CV;F12;SC3;HSC;24h
179306;92299,97656;86424,94531;1961,769043;2908,803223;11195,37402;5422,938477;527,674622;366,832031;244,190903;CV;F11;SC3;HSC;24h
107930;65753,45313;71845,0625;511,504242;2886,95752;9321,685547;3143,229736;9688,669922;248,605835;245,254089;CV;F10;SC3;ST-HSC;24h
160114;102260,2734;108958,7891;1294,848022;4499,075195;9300,582031;1024,572021;7134,946289;269,546204;246,110306;CV;F9;SC3;ST-HSC;24h
148084;96606,58594;83445,1875;3841,02417;2233,640381;8859,117188;-682,092041;5293,050293;895,527527;247,026611;CV;F8;SC3;MPP;24h
143640;70437,29688;71578,5;349,446411;5271,39502;7265,629883;720,259277;3491,687012;711,333679;248,014786;CV;F7;SC3;MPP;24h
143652;81612,58594;83822,41406;608,282776;5538,343262;8366,311523;17756,75781;16663,71875;-145,4095;249,094467;CV;F6;SC2;HSC;24h
135731;90901,72656;71715,35156;637,223877;5974,523438;11172,32617;4638,14502;727,512573;273,667969;250,244064;CV;F5;SC2;HSC;24h
127894;64916,88281;76417,04688;1277,662476;5595,850586;8099,82959;-93,355331;1208,384277;283,615936;251,007965;CV;F4;SC2;ST-HSC;24h
137001;65544,01563;58600,36328;1518,727173;4401,334473;7108,877441;224,437561;1712,857666;125,312012;251,855545;CV;F3;SC2;ST-HSC;24h
140844;120264,9766;115819,1328;28896,79883;6259,416016;15068,75781;2149,605957;516,384521;1020,893555;252,665405;CV;F2;SC2;MPP;24h
148073;75858,9375;59264,38281;703,787903;3155,523682;8191,952637;1022,542114;7569,222168;1671,202271;254,380966;CV;F1;SC2;MPP;24h
142256;69672,125;81875,57031;2400,753662;3346,96582;6603,602051;-31,904444;5558,228516;893,885071;255,841629;CV;G1;SC2;MPP;24h
141493;83238,125;89837,86719;20436,53711;3756,595459;8042,020508;100,746574;9798,166992;3204,847412;256,709625;CV;G2;SC2;MPP;24h
128236;83336,89063;72065,21094;-53,329166;6749,273438;8268,716797;1072,022583;2718,135986;69,645912;257,576813;CV;G3;SC2;ST-HSC;24h
133256;77739,13281;84485,24219;946,401917;3033,691162;7205,364258;110,426941;19361,37109;295,416138;258,68988;CV;G4;SC2;ST-HSC;24h
157910;96672,03125;86564,17188;484,641846;3393,455566;10850,09082;44794,22266;7654,486816;68,633087;259,887787;CV;G5;SC2;HSC;24h
122956;87836,28125;72204,44531;425,871094;2057,358643;9892,250977;27260,62109;25772,16602;250,614883;261,859039;CV;G6;SC2;HSC;24h
112368;68881,96094;68755,82031;2872,054932;3881,440674;7577,488281;-788,246277;10515,97559;1234,301758;262,842896;CV;G7;SC3;MPP;24h
133607;70289,73438;64508,71484;3170,457031;2883,115723;7924,248535;506,930481;8220,166016;1397,482788;265,503815;CV;G8;SC3;MPP;24h
146882;56764,19141;66009,30469;500,007935;8934,728516;6967,969727;-52,345631;2147,150391;36,551517;266,554443;CV;G9;SC3;ST-HSC;24h
135428;77968,80469;49620,62109;1939,623779;4427,944336;7705,378418;695,700806;660,229736;162,599731;267,993896;CV;G10;SC3;ST-HSC;24h
169689;78894,625;81097,3125;221,054626;4435,706543;7718,290527;5980,823242;22355,7168;-154,602646;268,745239;CV;G11;SC3;HSC;24h
