Filename;FSC;SSC;CFSE;SLAM;Flt3;CD16/32;CTV;CD127;CD48;SCA-1;ckit;new_value_CV_VC;Time;Condition;Color;Generation;Culture_time
export_H1 bulk ckit+ SC2_CV1.csv.8;109848,2422;55639,42188;16717,56641;1117,994507;9,45548;67,357407;6234,871582;59,39801;310,666504;43,19862;214,660248;5,669582;46,736267;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.9;103349,2734;64143,10156;17016,45313;80,093239;158,935486;1214,25415;8771,34082;109,011368;817,364685;82,369614;673,415039;5,779845;62,553543;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.10;141393,9219;105209,8828;16509,4668;45,02174;57,653114;2538,977539;4903,883789;282,819885;190,908691;-43,472401;322,252777;5,591994;68,017021;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.11;186654;118501,7578;18558,2168;33,743168;93,970146;3874,852295;6209,834473;201,367157;438,625153;-52,316589;276,163361;5,700424;78,788834;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.12;98018,86719;48676,07031;16235,8916;49,288643;820,503113;37,174461;6034,682617;74,236786;385,038361;42,146706;232,855072;5,650583;81,556465;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.13;99040,14844;63289,03516;20737,35156;153,843491;98,8582;74,637169;8150,664063;-63,443001;101,476929;614,676208;395,596161;5,818037;84,31752;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.14;138049,4844;128754,9688;19165,39063;-9,033327;94,334824;2712,835449;6361,165039;298,558716;177,48822;-64,827888;273,548676;5,717704;86,192528;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.15;98512,38281;62999,29297;20905,53906;107,685715;1169,331787;-38,450718;8199,681641;34,213493;497,503021;134,169144;335,651031;5,822359;86,480751;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.16;113438,3359;83283,27344;17423,88672;15,924315;70,421059;3273,93335;5579,949707;435,999207;121,622459;-46,718533;209,235031;5,64821;93,037483;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.17;128433,6094;68026,75;14932,125;36,326942;131,734482;1203,031372;5945,390625;26,369007;910,416382;-20,898039;30,661026;5,620298;97,858597;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.18;116586,3359;65996,51563;13623,95898;43,952171;59,105747;108,174904;5641,411621;105,025391;525,293579;18,888056;682,075195;5,576025;112,103073;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.19;163463,7813;129869,0234;15538,49902;24,48225;85,106369;3197,875488;5127,72168;162,374329;603,131958;-64,66272;174,231201;5,587087;112,548309;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.20;136910,5313;69347,04688;16612,70508;-5,847119;71,582069;2175,456543;5662,528809;219,629074;398,011627;4,807545;142,537704;5,638081;114,18438;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.21;138693,25;100472,7031;16295,03027;28,476448;66,444847;2771,471924;5914,952637;-52,189762;473,792725;-22,912281;429,245422;5,645545;131,655167;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.22;124841,4922;98489,92969;20930,79297;68,908524;189,489014;1241,115356;6838,392578;255,080063;598,199585;6,243587;660,417908;5,766979;145,585098;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.23;177594,6719;176055,4219;15314,33691;46,93504;77,421089;2535,834229;5713,12207;-6,702074;389,154175;-26,601795;236,548828;5,615822;162,340851;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.24;141896,1875;111183,3047;16092,54688;48,235569;87,330711;4776,633301;6614,291504;385,884003;264,610779;-63,011078;174,419952;5,676023;168,196655;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.25;144313,3906;70576,86719;16649,75;176,481613;31,451729;83,520691;6741,30127;75,911125;1645,71228;114,502266;578,34967;5,692317;188,243164;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.26;107272,75;84096,35938;16808,58984;29,935289;31,278931;2740,709717;5331,63916;57,109203;146,103836;-35,455048;240,378082;5,62319;194,332336;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.27;139477,6719;97106,25;17284,10156;21,401386;183,568466;1093,893799;8138,205566;89,116493;553,949463;93,027992;732,430908;5,76163;203,649078;SC2;CV;1;24h
export_H1 bulk ckit+ SC2_CV1.csv.28;90582,03906;45033,70313;22234,49805;27,649254;509,590454;101,56044;7729,069336;21,519398;419,418518;77,136269;212,080017;5,823133;224,70462;SC2;CV;1;24h
